,Feature Id,Importances
0,delta_self_distraction,10.909345838394357
1,delta_q6.11_NUMB_pcl,9.849298710163774
2,outliers_count_t1_25,9.648964898070483
3,cooks_d_intrusion_pcl2,9.330403726936606
4,delta_q6.8_AMNES_pcl,9.186050617286844
5,delta_q6.13_SLEEP_pcl,8.998889118322262
6,delta_trait,8.441640198356144
7,delta_state,6.5612180078791535
8,delta_denial,6.064101521857095
9,delta_q6.3_FLASH_pcl,4.766591395347111
10,highschool_diploma,4.280682487542064
11,outliers_count_t1_35,4.239663774261325
12,standard_resid_intrusion_pcl2,4.134233483758204
13,delta_phq,3.588916221824584
